																				OTP_AVC_V001	

OTP_REGISTER_NAME	name	inst_name	inst_base	reg_name	reg_ofs	otp_owner	DEFAULT VALUE	bw	idx	offset	otp_b0	otp_a0	otpreg_add	otpreg_ofs	Default or Real	REAL VALUE	Comment	Different	OTP_ECID_ONLY	OTP_AVC_V001	END	
OTP_SYS_CTRL_OTP_REVISION_19	OTP_REVISION	SYS_CTRL	13056	SYS_CTRL_SYS_MISC_CTRL_OTP_REV	5	design	0	5	28	23	0	3	19	0	Default				0	2	
OTP_SYS_CTRL_OTP_CONSUMER_19	OTP_CONSUMER	SYS_CTRL	13056	SYS_CTRL_SYS_MISC_CTRL_OTP_REV	5	design	0	3	29	28	0	3	19	5	Default				0	0	
OTP_SYS_CTRL_PLATFORM_ID_20	PLATFORM_ID	SYS_CTRL	13056	SYS_CTRL_SYS_MISC_CTRL_PLATFORM_ID	6	system	0	5	30	31	0	3	20	0	Default				0	0	
OTP_SYS_CTRL_TS_ACTIVEFRQS_21	TS_ACTIVEFRQS	SYS_CTRL	13056	SYS_CTRL_THERM_TEMPSENSCTL1_REG	0	-	1	3	31	4	0	4	21	0	Default				0	1	
OTP_SYS_CTRL_TS_EN_RISE_MEAS_21	TS_EN_RISE_MEAS	SYS_CTRL	13056	SYS_CTRL_THERM_TEMPSENSCTL1_REG	0	-	0	1	32	7	0	4	21	3	Default				0	0	
OTP_SYS_CTRL_TS_SAR_REG_UP_EN_21	TS_SAR_REG_UP_EN	SYS_CTRL	13056	SYS_CTRL_THERM_TEMPSENSCTL1_REG	0	-	0	1	33	8	0	4	21	4	Default				0	0	
OTP_SYS_CTRL_TEMPCALIB_22	TEMPCALIB	SYS_CTRL	13056	SYS_CTRL_THERM_TEMPCAL_REG	8	-	0	8	34	9	0	4	22	0	Default				0	0	
OTP_SYS_CTRL_GRAY_N_BIN_STROBE_SCHEME_23	GRAY_N_BIN_STROBE_SCHEME	SYS_CTRL	13056	SYS_CTRL_CCU_CFG_CLK_GEN_DIG_STROBE_GEN_CFG_0	3	-	1	1	35	17	0	4	23	0	Default				0	1	
OTP_SYS_CTRL_BLOCK_GCLK_STROBES_23	BLOCK_GCLK_STROBES	SYS_CTRL	13056	SYS_CTRL_CCU_CFG_CLK_GEN_DIG_STROBE_GEN_CFG_0	3	-	0	1	36	18	0	4	23	1	Default				0	0	
OTP_SYS_CTRL_CLK_REQ_CHICKEN_BUS_0_24	CLK_REQ_CHICKEN_BUS_0	SYS_CTRL	13056	SYS_CTRL_CCU_CFG_CLK_REQ_CHICKEN_BUS_0	4	-	255	8	37	19	0	4	24	0	Default				0	255	
