
								CP1	CP1	CP1	QA_C	QA_C	QA_S	QA_S	CHAR_N25C	CHAR_N25C	CHAR_0C	CHAR_0C	CHAR_25C	CHAR_25C	CHAR_85C	CHAR_85C	CHAR_125C	CHAR_125C	FT1	FT1	TBD2	TBD2	
		flowtable	instance	testname	PETname	testnumber	scale	units	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	comment	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI0_ILimit_X_X_X_X_TrimTarget_T_VDD3.80V_MeasI_X_X_X_X		10011		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI0_ILimit_X_X_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_X_X	BuckSWI0_ILimit_X_X_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_SWITCH.00.C0002_X	10012			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI0_ILimit_X_X_X_X_PreTrim_T_VDD3.80V_MeasI_X_X_X_X		10013		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI0_ILimit_X_X_X_X_FirstTrimCode_X_VDD3.80V_MeasI_X_X_X_X		10014			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI0_ILimit_X_X_X_X_FirstTrim_X_VDD3.80V_MeasI_X_X_X_X		10015		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI0_ILimit_X_X_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_X_X	BuckSWI0_ILimit_X_X_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_SWITCH.00.C0003_X	10016			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI0_ILimit_X_X_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_X_X	BuckSWI0_ILimit_X_X_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_SWITCH.00.T0002_X	10017		A	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI1_ILimit_X_X_X_X_TrimTarget_T_VDD3.80V_MeasI_X_X_X_X		10018		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI1_ILimit_X_X_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_X_X	BuckSWI1_ILimit_X_X_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_SWITCH.01.C0002_X	10019			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI1_ILimit_X_X_X_X_PreTrim_T_VDD3.80V_MeasI_X_X_X_X		10020		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI1_ILimit_X_X_X_X_FirstTrimCode_X_VDD3.80V_MeasI_X_X_X_X		10021			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI1_ILimit_X_X_X_X_FirstTrim_X_VDD3.80V_MeasI_X_X_X_X		10022		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI1_ILimit_X_X_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_X_X	BuckSWI1_ILimit_X_X_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_SWITCH.01.C0003_X	10023			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI1_ILimit_X_X_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_X_X	BuckSWI1_ILimit_X_X_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_SWITCH.01.T0002_X	10024		A	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI2_ILimit_X_X_X_X_TrimTarget_T_VDD3.80V_MeasI_X_X_X_X		10025		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI2_ILimit_X_X_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_X_X	BuckSWI2_ILimit_X_X_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_SWITCH.02.C0002_X	10026			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI2_ILimit_X_X_X_X_PreTrim_T_VDD3.80V_MeasI_X_X_X_X		10027		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI2_ILimit_X_X_X_X_FirstTrimCode_X_VDD3.80V_MeasI_X_X_X_X		10028			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI2_ILimit_X_X_X_X_FirstTrim_X_VDD3.80V_MeasI_X_X_X_X		10029		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI2_ILimit_X_X_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_X_X	BuckSWI2_ILimit_X_X_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_SWITCH.02.C0003_X	10030			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI2_ILimit_X_X_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_X_X	BuckSWI2_ILimit_X_X_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_SWITCH.02.T0002_X	10031		A	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI3_ILimit_X_X_X_X_TrimTarget_T_VDD3.80V_MeasI_X_X_X_X		10032		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI3_ILimit_X_X_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_X_X	BuckSWI3_ILimit_X_X_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_SWITCH.03.C0002_X	10033			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI3_ILimit_X_X_X_X_PreTrim_T_VDD3.80V_MeasI_X_X_X_X		10034		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI3_ILimit_X_X_X_X_FirstTrimCode_X_VDD3.80V_MeasI_X_X_X_X		10035			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI3_ILimit_X_X_X_X_FirstTrim_X_VDD3.80V_MeasI_X_X_X_X		10036		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI3_ILimit_X_X_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_X_X	BuckSWI3_ILimit_X_X_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_SWITCH.03.C0003_X	10037			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI3_ILimit_X_X_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_X_X	BuckSWI3_ILimit_X_X_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_SWITCH.03.T0002_X	10038		A	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI4_ILimit_X_X_X_X_TrimTarget_T_VDD3.80V_MeasI_X_X_X_X		10039		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI4_ILimit_X_X_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_X_X	BuckSWI4_ILimit_X_X_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_SWITCH.04.C0002_X	10040			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI4_ILimit_X_X_X_X_PreTrim_T_VDD3.80V_MeasI_X_X_X_X		10041		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI4_ILimit_X_X_X_X_FirstTrimCode_X_VDD3.80V_MeasI_X_X_X_X		10042			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI4_ILimit_X_X_X_X_FirstTrim_X_VDD3.80V_MeasI_X_X_X_X		10043		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI4_ILimit_X_X_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_X_X	BuckSWI4_ILimit_X_X_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_SWITCH.04.C0003_X	10044			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI4_ILimit_X_X_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_X_X	BuckSWI4_ILimit_X_X_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_SWITCH.04.T0002_X	10045		A	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI5_ILimit_X_X_X_X_TrimTarget_T_VDD3.80V_MeasI_X_X_X_X		10046		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI5_ILimit_X_X_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_X_X	BuckSWI5_ILimit_X_X_X_X_PreTrimCode_C_VDD3.80V_MeasI_X_X_SWITCH.05.C0002_X	10047			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI5_ILimit_X_X_X_X_PreTrim_T_VDD3.80V_MeasI_X_X_X_X		10048		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI5_ILimit_X_X_X_X_FirstTrimCode_X_VDD3.80V_MeasI_X_X_X_X		10049			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI5_ILimit_X_X_X_X_FirstTrim_X_VDD3.80V_MeasI_X_X_X_X		10050		A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI5_ILimit_X_X_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_X_X	BuckSWI5_ILimit_X_X_X_X_FinalTrimCode_C_VDD3.80V_MeasI_X_X_SWITCH.05.C0003_X	10051			0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	0	15	
	Run	Flow_BUCKSW_TRIM	BuckSW_ILimit_Trim_Gentool	BuckSWI5_ILimit_X_X_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_X_X	BuckSWI5_ILimit_X_X_X_X_FinalTrim_T_VDD3.80V_MeasI_X_X_SWITCH.05.T0002_X	10052		A	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	-0.323	-0.213	
