
								CP1	CP1	CP1	QA_C	QA_C	QA_S	QA_S	CHAR_N25C	CHAR_N25C	CHAR_0C	CHAR_0C	CHAR_25C	CHAR_25C	CHAR_85C	CHAR_85C	CHAR_125C	CHAR_125C	FT1	FT1	TBD2	TBD2	
		flowtable	instance	testname	PETname	testnumber	scale	units	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	lolim	hilim	comment	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO12_X_X_X_P_X_VDDNV_MeasI_X_X_X_X	LDO_Shutdown-I_VDD-LDO12_X_X_X_P_X_VDDNV_MeasI_X_X_IQ.00.P0003_X	95723		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO12_X_X_X_P_X_VDDULV_MeasI_X_X_X_X		95723		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO14_X_X_X_P_X_VDDHV_MeasI_X_X_X_X		95724		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO14_X_X_X_P_X_VDDLV_MeasI_X_X_X_X		95724		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO14_X_X_X_P_X_VDDNV_MeasI_X_X_X_X	LDO_Shutdown-I_VDD-LDO14_X_X_X_P_X_VDDNV_MeasI_X_X_IQ.00.P0004_X	95724		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO14_X_X_X_P_X_VDDULV_MeasI_X_X_X_X		95724		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO15_X_X_X_P_X_VDDHV_MeasI_X_X_X_X		95725		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO15_X_X_X_P_X_VDDLV_MeasI_X_X_X_X		95725		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO15_X_X_X_P_X_VDDNV_MeasI_X_X_X_X	LDO_Shutdown-I_VDD-LDO15_X_X_X_P_X_VDDNV_MeasI_X_X_IQ.00.P0005_X	95725		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO15_X_X_X_P_X_VDDULV_MeasI_X_X_X_X		95725		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO2_X_X_X_P_X_VDDHV_MeasI_X_X_X_X		95717		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO2_X_X_X_P_X_VDDLV_MeasI_X_X_X_X		95717		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO2_X_X_X_P_X_VDDNV_MeasI_X_X_X_X	LDO_Shutdown-I_VDD-LDO2_X_X_X_P_X_VDDNV_MeasI_X_X_IQ.00.P0006_X	95717		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO2_X_X_X_P_X_VDDULV_MeasI_X_X_X_X		95717		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO3_X_X_X_P_X_VDDHV_MeasI_X_X_X_X		95718		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO3_X_X_X_P_X_VDDLV_MeasI_X_X_X_X		95718		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO3_X_X_X_P_X_VDDNV_MeasI_X_X_X_X	LDO_Shutdown-I_VDD-LDO3_X_X_X_P_X_VDDNV_MeasI_X_X_IQ.00.P0007_X	95718		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO3_X_X_X_P_X_VDDULV_MeasI_X_X_X_X		95718		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO4_X_X_X_P_X_VDDHV_MeasI_X_X_X_X		95719		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO4_X_X_X_P_X_VDDLV_MeasI_X_X_X_X		95719		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO4_X_X_X_P_X_VDDNV_MeasI_X_X_X_X	LDO_Shutdown-I_VDD-LDO4_X_X_X_P_X_VDDNV_MeasI_X_X_IQ.00.P0008_X	95719		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO4_X_X_X_P_X_VDDULV_MeasI_X_X_X_X		95719		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO6_X_X_X_P_X_VDDHV_MeasI_X_X_X_X		95720		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO6_X_X_X_P_X_VDDLV_MeasI_X_X_X_X		95720		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO6_X_X_X_P_X_VDDNV_MeasI_X_X_X_X	LDO_Shutdown-I_VDD-LDO6_X_X_X_P_X_VDDNV_MeasI_X_X_IQ.00.P0009_X	95720		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO6_X_X_X_P_X_VDDULV_MeasI_X_X_X_X		95720		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO8_X_X_X_P_X_VDDHV_MeasI_X_X_X_X		95721		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO8_X_X_X_P_X_VDDLV_MeasI_X_X_X_X		95721		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO8_X_X_X_P_X_VDDNV_MeasI_X_X_X_X	LDO_Shutdown-I_VDD-LDO8_X_X_X_P_X_VDDNV_MeasI_X_X_IQ.00.P0010_X	95721		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-LDO8_X_X_X_P_X_VDDULV_MeasI_X_X_X_X		95721		A	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	-0.000002	0.000002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-MAIN-LDO_X_X_X_P_X_VDDHV_MeasI_X_X_X_X		95715		A	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-MAIN-LDO_X_X_X_P_X_VDDLV_MeasI_X_X_X_X		95715		A	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-MAIN-LDO_X_X_X_P_X_VDDNV_MeasI_X_X_X_X	LDO_Shutdown-I_VDD-MAIN-LDO_X_X_X_P_X_VDDNV_MeasI_X_X_IQ.00.P0011_X	95715		A	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	
	Run	Flow_LDO_Postburn	LDOx_Shutdown_IDD	LDO_Shutdown-I_VDD-MAIN-LDO_X_X_X_P_X_VDDULV_MeasI_X_X_X_X		95715		A	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	0.000001	0.00002	
	Run	Flow_LDO_Postburn	LDOint_VOUT_PROG_HTOLCHECK	LDO0_INTLDOHTOLCHECK_INTVoutHTOL&H10_X_1mALoad_X_P_X_VDDNV_MeasV_X_X_X_X	LDO0_INTLDOHTOLCHECK_INTVoutHTOL&H10_X_1mALoad_X_P_X_VDDNV_MeasV_X_X_LDO.INT.P0012_X	7850486		V	1.675	1.725	1.675	1.725	1.675	1.725	1.675	1.725	1.675	1.725	1.675	1.725	1.675	1.725	1.675	1.725	1.675	1.725	1.675	1.725	
	Run	Flow_LDO_Postburn	LDOint_VOUT_PROG_HTOLCHECK	LDO0_INTLDOHTOLCHECK_INTVoutHTOL&H18_X_1mALoad_X_P_X_VDDNV_MeasV_X_X_X_X	LDO0_INTLDOHTOLCHECK_INTVoutHTOL&H18_X_1mALoad_X_P_X_VDDNV_MeasV_X_X_LDO.INT.P0013_X	7850487		V	1.625	1.675	1.625	1.675	1.625	1.675	1.625	1.675	1.625	1.675	1.625	1.675	1.625	1.675	1.625	1.675	1.625	1.675	1.625	1.675	
