DFF 1.1
	

	IG-XL Version		9.10.00_uflx(P5.2) 07.23.19.11.00	
	Test Program		LR68_CP1_X4_E04_200116_V04A_PROD_BCV0p71_25C.igxl	
	Date		43847.8305555556	
	User		SUFLX641\wafer	
	Computer Name		SUFLX641	
	Computer OS		Windows 7 Service Pack 1	
	Computer Speed		~3292 Mhz GenuineIntel Intel64 Family 6 Model 45 Stepping 7 (8 Processor(s))	
	Computer Memory		33476168 KB RAM	
	DSP PC		1 DSP PC(s) with 1 Processor(s), GenuineIntel Intel64 Family 6 Model 62 Stepping 4 each with 10 Cores per processor 16	
	Tester		Jaguar	
	Job		CP1	
	Channel Map		ChannelMap_CP_4_site	
	Part	
	Environment	
	Sites		4	
	SitesStartingCount		1	
	Enable Words		Bintable,Temp_25C,CP,CFG_UDR_MON_Read_Enable,CFG_Enable,BKM_Fuse,CFG_Early_Enable,ECID_Enable,CP1,EVS,ECID_DEID_Enable,ECID_nonDEID_Enable,UDR_P_Enable,UDR_E_Enable,MON_Enable,HardIPBin,Prod_CP1,HARDIP_PCIE,HARDIP_PCIEREFBUF,HARDIP_CIO,HARDIP_LPDPRX,HARDIP_LPDPTX,HARDIP_ADC,HARDIP_SEPVM,HARDIP_RLXOSC,HARDIP_AMP,HARDIP_MIPI,HARDIP_EUSB,HARDIP_LLPS,HARDIP_FRO,HARDIP_DCM,HARDIP_IVDM,HARDIP_DSGRINGS,HARDIP_PSR1,HARDIP_VTHSENSOR,HARDIP_WRITERLEAKER,HARDIP_PCIEREFPLL,HARDIP_PCIETXPLL,HARDIP_PCIEAUSPLL,HARDIP_LPDPAUSPLL,HARDIP_CIO3PLL,HARDIP_CIOAUSPLL,HARDIP_ADCLK,HARDIP_SOCPLL,HARDIP_DDRPLL,HARDIP_ULPPLL,HARDIP_FLPPLL,eFuse_All_Enable,XI0_nWire,UID_Enable,UDR_E_Early_Enable,UDR_P_Early_Enable,HARDIP_MTRTSNS,HARDIP_MTRSNS,HARDIP_MTRGR,HARDIP_PCMRINGS,HARDIP_SEPDFM,HardIP_Autorange,Prod_All,Mbist_FingerPrint,Mbist_FingerPrint_Vector,BV_Mbist,UARTToDatalog,Enable_HardIP,SPIROM_1_Write	
	Run Mode		Run	
	Total Execution Time		180.5589799	
	Total Results Overhang		N/A	
	Session Comment	


	Flow Sheet	Line	Flow Step		VBT	
				Total	PreBody	Body	PostBody	TName	TNum	
	Flow_Table_Main_Init_Flags	62	FLAG-FALSE	0.0000158	
	Flow_Table_Main_Init_Flags	63	FLAG-FALSE	0.0000158	
	Flow_Table_Main_Init_Flags	64	FLAG-FALSE	0.0000158	
	Flow_Table_Main_Init_Flags	65	FLAG-FALSE	0.0000193	
	Flow_Table_Main_Init_Flags	66	FLAG-TRUE	0.0000096	
	Flow_Table_Main_Init_Flags	67	FLAG-TRUE	0.0000093	
	Flow_Table_Main_Init_Flags	68	FLAG-TRUE	0.0000091	
	Flow_Table_Main_Init_Flags	69	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	70	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	71	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	72	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	73	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	74	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	75	FLAG-TRUE	0.0000087	
	Flow_Table_Main_Init_Flags	76	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	77	FLAG-TRUE	0.0000087	
	Flow_Table_Main_Init_Flags	78	FLAG-TRUE	0.0000093	
	Flow_Table_Main_Init_Flags	79	FLAG-TRUE	0.0000091	
	Flow_Table_Main_Init_Flags	80	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	81	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	82	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	83	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	84	FLAG-TRUE	0.0000091	
	Flow_Table_Main_Init_Flags	85	FLAG-TRUE	0.0000087	
	Flow_Table_Main_Init_Flags	86	FLAG-TRUE	0.0000094	
	Flow_Table_Main_Init_Flags	87	FLAG-TRUE	0.0000087	
	Flow_Table_Main_Init_Flags	88	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	89	FLAG-TRUE	0.0000094	
	Flow_Table_Main_Init_Flags	90	FLAG-TRUE	0.0000093	
	Flow_Table_Main_Init_Flags	91	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	92	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	93	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	94	FLAG-TRUE	0.0000094	
	Flow_Table_Main_Init_Flags	95	FLAG-TRUE	0.0000087	
	Flow_Table_Main_Init_Flags	96	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	97	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	98	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	99	FLAG-TRUE	0.0000087	
	Flow_Table_Main_Init_Flags	100	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	101	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	102	FLAG-TRUE	0.0000094	
	Flow_Table_Main_Init_Flags	103	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	104	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	105	FLAG-TRUE	0.0000087	
	Flow_Table_Main_Init_Flags	106	FLAG-TRUE	0.0000091	
	Flow_Table_Main_Init_Flags	107	FLAG-TRUE	0.0000087	
	Flow_Table_Main_Init_Flags	108	FLAG-TRUE	0.0000091	
	Flow_Table_Main_Init_Flags	109	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	110	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	111	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	112	FLAG-TRUE	0.0000094	
	Flow_Table_Main_Init_Flags	113	FLAG-TRUE	0.0000087	
	Flow_Table_Main_Init_Flags	114	FLAG-TRUE	0.0000125	
	Flow_Table_Main_Init_Flags	115	FLAG-TRUE	0.00001	
	Flow_Table_Main_Init_Flags	116	FLAG-TRUE	0.0000093	
	Flow_Table_Main_Init_Flags	117	FLAG-TRUE	0.0000093	
	Flow_Table_Main_Init_Flags	118	FLAG-TRUE	0.0000093	
	Flow_Table_Main_Init_Flags	119	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	120	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	121	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	122	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	123	FLAG-TRUE	0.0000091	
	Flow_Table_Main_Init_Flags	124	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	125	FLAG-TRUE	0.000009	
	Flow_Table_Main_Init_Flags	126	FLAG-FALSE	0.0000181	
	Flow_Table_Main_Init_Flags	127	FLAG-TRUE	0.0000159	
	Flow_Table_Main_Init_Flags	128	FLAG-CLEAR	0.0000159	
	Flow_Table_Main_Init_Flags	129	FLAG-CLEAR	0.0000152	
	Flow_Table_Main_Init_Flags	130	FLAG-CLEAR	0.0000152	
	Flow_Table_Main_Init_Flags	131	FLAG-CLEAR	0.000019	
	Flow_Table_Main_Init_Flags	132	FLAG-FALSE	0.0000162	
	Flow_Table_Main_Init_Flags	133	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	134	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	135	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	136	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	137	FLAG-FALSE	0.0000153	
	Flow_Table_Main_Init_Flags	138	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	139	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	140	FLAG-FALSE	0.0000162	
	Flow_Table_Main_Init_Flags	141	FLAG-FALSE	0.0000158	
	Flow_Table_Main_Init_Flags	142	FLAG-FALSE	0.0000155	
	Flow_Table_Main_Init_Flags	143	FLAG-FALSE	0.0000155	
	Flow_Table_Main_Init_Flags	144	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	145	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	146	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	147	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	148	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	149	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	150	FLAG-CLEAR	0.0000152	
	Flow_Table_Main_Init_Flags	151	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	152	FLAG-FALSE	0.0000155	
	Flow_Table_Main_Init_Flags	153	FLAG-FALSE	0.0000155	
	Flow_Table_Main_Init_Flags	154	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	155	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	156	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	157	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	158	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	159	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	160	FLAG-CLEAR	0.0000159	
	Flow_Table_Main_Init_Flags	161	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	162	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	163	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	164	FLAG-CLEAR	0.0000159	
	Flow_Table_Main_Init_Flags	165	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	166	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	167	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	168	FLAG-CLEAR	0.0000155	
	Flow_Table_Main_Init_Flags	169	FLAG-CLEAR	0.0000152	
	Flow_Table_Main_Init_Flags	170	FLAG-CLEAR	0.0000152	
	Flow_Table_Main_Init_Flags	171	FLAG-CLEAR	0.0000155	
	Flow_Table_Main_Init_Flags	172	FLAG-CLEAR	0.0000155	
	Flow_Table_Main_Init_Flags	173	FLAG-CLEAR	0.0000152	
	Flow_Table_Main_Init_Flags	174	FLAG-CLEAR	0.0000155	
	Flow_Table_Main_Init_Flags	175	FLAG-CLEAR	0.0000155	
	Flow_Table_Main_Init_Flags	176	FLAG-CLEAR	0.0000152	
	Flow_Table_Main_Init_Flags	177	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	178	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	179	FLAG-CLEAR	0.0000159	
	Flow_Table_Main_Init_Flags	180	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	181	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	182	FLAG-CLEAR	0.0000152	
	Flow_Table_Main_Init_Flags	183	FLAG-CLEAR	0.0000158	
	Flow_Table_Main_Init_Flags	184	FLAG-FALSE	0.0000165	
	Flow_Table_Main_Init_Flags	185	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	186	FLAG-CLEAR	0.0000152	
	Flow_Table_Main_Init_Flags	187	FLAG-CLEAR	0.0000246	
	Flow_Table_Main_Init_Flags	188	FLAG-CLEAR	0.0000165	
	Flow_Table_Main_Init_Flags	189	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	190	FLAG-CLEAR	0.0000159	
	Flow_Table_Main_Init_Flags	191	FLAG-CLEAR	0.0000161	
	Flow_Table_Main_Init_Flags	192	FLAG-CLEAR	0.0000162	
	Flow_Table_Main_Init_Flags	193	FLAG-FALSE	0.0000165	
	Flow_Table_Main_Init_Flags	194	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	195	FLAG-FALSE	0.0000155	
	Flow_Table_Main_Init_Flags	196	FLAG-CLEAR	0.0000162	
	Flow_Table_Main_Init_Flags	197	FLAG-CLEAR	0.0000155	
	Flow_Table_Main_Init_Flags	198	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	199	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	200	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	201	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	202	FLAG-CLEAR	0.0000249	
	Flow_Table_Main_Init_Flags	203	FLAG-CLEAR	0.0000261	
	Flow_Table_Main_Init_Flags	204	FLAG-FALSE	0.0000162	
	Flow_Table_Main_Init_Flags	205	FLAG-CLEAR	0.0000155	
	Flow_Table_Main_Init_Flags	206	FLAG-FALSE	0.0000196	
	Flow_Table_Main_Init_Flags	207	FLAG-CLEAR	0.0000159	
	Flow_Table_Main_Init_Flags	208	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	209	FLAG-CLEAR	0.0000165	
	Flow_Table_Main_Init_Flags	210	FLAG-CLEAR	0.0000205	
	Flow_Table_Main_Init_Flags	211	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	212	FLAG-CLEAR	0.0000162	
	Flow_Table_Main_Init_Flags	213	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	214	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	215	FLAG-FALSE	0.0000165	
	Flow_Table_Main_Init_Flags	216	FLAG-CLEAR	0.0000174	
	Flow_Table_Main_Init_Flags	217	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	218	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	219	FLAG-CLEAR	0.0000153	
	Flow_Table_Main_Init_Flags	220	FLAG-CLEAR	0.0000158	
	Flow_Table_Main_Init_Flags	221	FLAG-CLEAR	0.0000155	
	Flow_Table_Main_Init_Flags	222	FLAG-CLEAR	0.0000261	
	Flow_Table_Main_Init_Flags	223	FLAG-CLEAR	0.0000162	
	Flow_Table_Main_Init_Flags	224	FLAG-CLEAR	0.0000159	
	Flow_Table_Main_Init_Flags	225	FLAG-CLEAR	0.0000159	
	Flow_Table_Main_Init_Flags	226	FLAG-FALSE	0.0000265	
	Flow_Table_Main_Init_Flags	227	FLAG-CLEAR	0.0000165	
	Flow_Table_Main_Init_Flags	228	FLAG-FALSE	0.0000168	
	Flow_Table_Main_Init_Flags	229	FLAG-CLEAR	0.0000159	
	Flow_Table_Main_Init_Flags	230	FLAG-CLEAR	0.0000183	
	Flow_Table_Main_Init_Flags	231	FLAG-CLEAR	0.0000196	
	Flow_Table_Main_Init_Flags	232	FLAG-CLEAR	0.0000252	
	Flow_Table_Main_Init_Flags	233	FLAG-CLEAR	0.0000221	
	Flow_Table_Main_Init_Flags	234	FLAG-CLEAR	0.000023	
	Flow_Table_Main_Init_Flags	235	FLAG-CLEAR	0.0000202	
	Flow_Table_Main_Init_Flags	236	FLAG-CLEAR	0.0000174	
	Flow_Table_Main_Init_Flags	237	FLAG-FALSE	0.0000174	
	Flow_Table_Main_Init_Flags	238	FLAG-CLEAR	0.0000171	
	Flow_Table_Main_Init_Flags	239	FLAG-FALSE	0.0000168	
	Flow_Table_Main_Init_Flags	240	FLAG-CLEAR	0.0000168	
	Flow_Table_Main_Init_Flags	241	FLAG-CLEAR	0.0000181	
	Flow_Table_Main_Init_Flags	242	FLAG-CLEAR	0.0000156	
	Flow_Table_Main_Init_Flags	243	FLAG-CLEAR	0.0000162	
	Flow_Table_Main_Init_Flags	244	FLAG-CLEAR	0.0000162	
	Flow_Table_Main_Init_Flags	245	FLAG-CLEAR	0.000018	
	Flow_Table_Main_Init_Flags	246	FLAG-CLEAR	0.0000159	
	Flow_Table_Main_Init_Flags	247	FLAG-CLEAR	0.0000159	
	Flow_Table_Main_Init_Flags	248	FLAG-FALSE	0.00002	
	Flow_Table_Main_Init_Flags	249	FLAG-CLEAR	0.0000158	
	Flow_Table_Main_Init_Flags	250	FLAG-FALSE	0.0000161	
	Flow_Table_Main_Init_Flags	251	FLAG-CLEAR	0.0000159	
	Flow_Table_Main_Init_Flags	252	FLAG-CLEAR	0.0000158	
	Flow_Table_Main_Init_Flags	253	FLAG-CLEAR	0.0000152	
