DFF 1.1
	

	IG-XL Version		9.10.00_uflx(P5.2) 07.23.19.11.00	
	Test Program		LR68_CP1_X4_E04_200116_V04A_PROD_BCV0p71_25C.igxl	
	Date		43847.8305555556	
	User		SUFLX641\wafer	
	Computer Name		SUFLX641	
	Computer OS		Windows 7 Service Pack 1	
	Computer Speed		~3292 Mhz GenuineIntel Intel64 Family 6 Model 45 Stepping 7 (8 Processor(s))	
	Computer Memory		33476168 KB RAM	
	DSP PC		1 DSP PC(s) with 1 Processor(s), GenuineIntel Intel64 Family 6 Model 62 Stepping 4 each with 10 Cores per processor 16	
	Tester		Jaguar	
	Job		CP1	
	Channel Map		ChannelMap_CP_4_site	
	Part	
	Environment	
	Sites		4	
	SitesStartingCount		1	
	Enable Words		Bintable,Temp_25C,CP,CFG_UDR_MON_Read_Enable,CFG_Enable,BKM_Fuse,CFG_Early_Enable,ECID_Enable,CP1,EVS,ECID_DEID_Enable,ECID_nonDEID_Enable,UDR_P_Enable,UDR_E_Enable,MON_Enable,HardIPBin,Prod_CP1,HARDIP_PCIE,HARDIP_PCIEREFBUF,HARDIP_CIO,HARDIP_LPDPRX,HARDIP_LPDPTX,HARDIP_ADC,HARDIP_SEPVM,HARDIP_RLXOSC,HARDIP_AMP,HARDIP_MIPI,HARDIP_EUSB,HARDIP_LLPS,HARDIP_FRO,HARDIP_DCM,HARDIP_IVDM,HARDIP_DSGRINGS,HARDIP_PSR1,HARDIP_VTHSENSOR,HARDIP_WRITERLEAKER,HARDIP_PCIEREFPLL,HARDIP_PCIETXPLL,HARDIP_PCIEAUSPLL,HARDIP_LPDPAUSPLL,HARDIP_CIO3PLL,HARDIP_CIOAUSPLL,HARDIP_ADCLK,HARDIP_SOCPLL,HARDIP_DDRPLL,HARDIP_ULPPLL,HARDIP_FLPPLL,eFuse_All_Enable,XI0_nWire,UID_Enable,UDR_E_Early_Enable,UDR_P_Early_Enable,HARDIP_MTRTSNS,HARDIP_MTRSNS,HARDIP_MTRGR,HARDIP_PCMRINGS,HARDIP_SEPDFM,HardIP_Autorange,Prod_All,Mbist_FingerPrint,Mbist_FingerPrint_Vector,BV_Mbist,UARTToDatalog,Enable_HardIP,SPIROM_1_Write	
	Run Mode		Run	
	Total Execution Time		180.5589799	
	Total Results Overhang		N/A	
	Session Comment	


	Flow Sheet	Line	Flow Step		VBT	
				Total	PreBody	Body	PostBody	TName	TNum	
	Flow_Table_Main_Init_Flags	30	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	31	FLAG-FALSE	0.0000186	
	Flow_Table_Main_Init_Flags	32	FLAG-FALSE	0.0000152	
	Flow_Table_Main_Init_Flags	33	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	34	FLAG-FALSE	0.0000155	
	Flow_Table_Main_Init_Flags	35	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	36	FLAG-FALSE	0.0000159	
	Flow_Table_Main_Init_Flags	37	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	38	FLAG-FALSE	0.0000158	
	Flow_Table_Main_Init_Flags	39	FLAG-FALSE	0.0000155	
	Flow_Table_Main_Init_Flags	40	FLAG-FALSE	0.0000159	
	Flow_Table_Main_Init_Flags	41	FLAG-FALSE	0.0000155	
	Flow_Table_Main_Init_Flags	42	FLAG-FALSE	0.0000159	
	Flow_Table_Main_Init_Flags	43	FLAG-FALSE	0.0000155	
	Flow_Table_Main_Init_Flags	44	FLAG-FALSE	0.0000155	
	Flow_Table_Main_Init_Flags	45	FLAG-FALSE	0.0000155	
	Flow_Table_Main_Init_Flags	46	FLAG-FALSE	0.0000159	
	Flow_Table_Main_Init_Flags	47	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	48	FLAG-FALSE	0.0000159	
	Flow_Table_Main_Init_Flags	49	FLAG-FALSE	0.0000159	
	Flow_Table_Main_Init_Flags	50	FLAG-FALSE	0.0000155	
	Flow_Table_Main_Init_Flags	51	FLAG-FALSE	0.0000158	
	Flow_Table_Main_Init_Flags	52	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	53	FLAG-FALSE	0.0000155	
	Flow_Table_Main_Init_Flags	54	FLAG-FALSE	0.0000158	
	Flow_Table_Main_Init_Flags	55	FLAG-FALSE	0.0000159	
	Flow_Table_Main_Init_Flags	56	FLAG-FALSE	0.0000186	
	Flow_Table_Main_Init_Flags	57	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	58	FLAG-FALSE	0.0000156	
	Flow_Table_Main_Init_Flags	59	FLAG-FALSE	0.0000159	
	Flow_Table_Main_Init_Flags	60	FLAG-FALSE	0.0000155	
	Flow_Table_Main_Init_Flags	61	FLAG-FALSE	0.0000158	
